genes_Ascl1_Symbols
Xkr4
Rp1
Sox17
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Oprk1
Npbwr1
Rb1cc1
Alkal1
St18
Pcmtd1
Sntg1
Rrs1
Adhfe1
2610203C22Rik
Mybl1
1700034P13Rik
Sgk3
Snhg6
Tcf24
Ppp1r42
Cspp1
Arfgef1
Cpa6
Prex2
A830018L16Rik
Mir6341
Gm17644
Sulf1
Slco5a1
Prdm14
Ncoa2
Tram1
Lactb2
Gm5523
Eya1
Msc
Trpa1
Kcnb2
Terf1
Sbspon
4930444P10Rik
Rdh10
Ube2w
Tmem70
Ly96
Jph1
Gdap1
Pi15
Crispld1
Gm16070
Crisp4
Defb44-ps
Defb18
Defb41
Tfap2d
Tfap2b
4930486I03Rik
Pkhd1
Lincmd1
Mir206
Il17a
Il17f
Mcm3
6720483E21Rik
Paqr8
Efhc1
Tram2
Tmem14a
Gsta3
Gm4956
Khdc1b
Kcnq5
Rims1
Ppp1r14bl
Mir30a
Mir30c-2
Ogfrl1
B3gat2
Sdhaf4
Fam135a
Col9a1
Col19a1
Lmbrd1
Adgrb3
Gm20172
4931408C20Rik
Gm5524
Gm597
Mir6342
Phf3
Gm13363
Ptp4a1
Gm29669
Lgsn
Dnaaf6
Khdrbs2
Gm9839
Gm5415
Prim2
Rab23
Bag2
Zfp451
Gm15455
Bend6
Dst
Mir6896
Mir5103
Ccdc115
Ptpn18
Prss39
Cfc1
Prss40
Arhgef4
Fam168b
Plekhb2
Hs6st1
Mir6897
Uggt1
Neurl3
Arid5a
Fer1l5
Lman2l
Cnnm4
Cnnm3
Ankrd23
Sema4c
Fam178b
Actr1b
4933424G06Rik
Zap70
Tmem131
Vwa3b
Cnga3
Inpp4a
Coa5
Mgat4a
Cracdl
Tsga10
Mrpl30
Lyg2
Lyg1
Eif5b
Rev1
Gm5099
Aff3
Lonrf2
Chst10
Nms
Pdcl3
Mir6349
Npas2
Rpl31
Tbc1d8
Cnot11
Rnf149
Rfx8
1700066B17Rik
Map4k4
Il1r2
Il1r1
Il1rl2
Il1rl1
Slc9a4
Slc9a2
Tmem182
4930448I06Rik
Pantr1
Pou3f3
Pantr2
Dalir
Mrps9
Gpr45
Tgfbrap1
Fhl2
Nck2
Uxs1
Tpp2
Tex30
Mettl21e
Gulp1
4930521E06Rik
Col3a1
Col5a2
Wdr75
Slc40a1
Dnah7b
Dnah7c
Slc39a10
Mir6350
C230029F24Rik
Tmeff2
Cavin2
9330175M20Rik
Nabp1
